created_at,value,value^2,RMS
2023-12-01 12:00:00 UTC,1.62,2.6244,1.692136519
2023-12-01 12:00:01 UTC,1.95,3.8025,1.692136519
2023-12-01 12:04:25 UTC,1.5,2.25,1.692136519
2023-12-01 12:04:34 UTC,1.87,3.4969,1.692136519
2023-12-01 12:04:45 UTC,1.87,3.4969,1.692136519
2023-12-01 12:04:59 UTC,1.95,3.8025,1.692136519
2023-12-01 12:05:01 UTC,1.95,3.8025,1.692136519
2023-12-01 12:05:08 UTC,1.69,2.8561,1.692136519
2023-12-01 12:05:09 UTC,1.17,1.3689,1.692136519
2023-12-01 12:05:13 UTC,1.76,3.0976,1.692136519
2023-12-01 12:05:21 UTC,1.81,3.2761,1.692136519
2023-12-01 12:05:22 UTC,1.97,3.8809,1.692136519
2023-12-01 12:05:24 UTC,1.46,2.1316,1.692136519
2023-12-01 12:05:31 UTC,1.86,3.4596,1.692136519
2023-12-01 12:05:32 UTC,1.86,3.4596,1.692136519
2023-12-01 12:29:22 UTC,1.99,3.9601,1.692136519
2023-12-01 12:29:33 UTC,1.81,3.2761,1.692136519
2023-12-01 12:29:44 UTC,1.48,2.1904,1.692136519
2023-12-01 12:29:55 UTC,1.52,2.3104,1.692136519
2023-12-01 12:30:01 UTC,1.84,3.3856,1.692136519
2023-12-01 12:30:06 UTC,1.38,1.9044,1.692136519
2023-12-01 12:31:45 UTC,1.95,3.8025,1.692136519
2023-12-01 12:31:50 UTC,1.53,2.3409,1.692136519
2023-12-01 12:32:18 UTC,1.84,3.3856,1.692136519
2023-12-01 12:32:35 UTC,1.81,3.2761,1.692136519
2023-12-01 12:32:46 UTC,1.95,3.8025,1.692136519
2023-12-01 12:33:02 UTC,1.84,3.3856,1.692136519
2023-12-01 12:33:07 UTC,1.63,2.6569,1.692136519
2023-12-01 12:33:35 UTC,1.85,3.4225,1.692136519
2023-12-01 12:33:40 UTC,1.45,2.1025,1.692136519
2023-12-01 12:33:46 UTC,1.8,3.24,1.692136519
2023-12-01 12:34:02 UTC,1.58,2.4964,1.692136519
2023-12-01 12:34:08 UTC,1.36,1.8496,1.692136519
2023-12-01 12:34:24 UTC,1.22,1.4884,1.692136519
2023-12-01 12:34:41 UTC,1.95,3.8025,1.692136519
2023-12-01 12:34:46 UTC,1.29,1.6641,1.692136519
2023-12-01 12:35:08 UTC,1.9,3.61,1.692136519
2023-12-01 12:35:13 UTC,1.39,1.9321,1.692136519
2023-12-01 12:35:19 UTC,1.65,2.7225,1.692136519
2023-12-01 12:35:25 UTC,1,1,1.692136519
2023-12-01 12:35:30 UTC,1.83,3.3489,1.692136519
2023-12-01 12:35:46 UTC,1.71,2.9241,1.692136519
2023-12-01 12:36:03 UTC,1.1,1.21,1.692136519
2023-12-01 12:42:03 UTC,1.24,1.5376,1.692136519
2023-12-01 12:52:43 UTC,1.84,3.3856,1.692136519
2023-12-01 12:52:54 UTC,1.62,2.6244,1.692136519
2023-12-01 12:55:38 UTC,1.47,2.1609,1.692136519
2023-12-01 12:56:58 UTC,1.85,3.4225,1.692136519
2023-12-01 13:00:21 UTC,1.79,3.2041,1.692136519
2023-12-01 13:04:12 UTC,1.88,3.5344,1.692136519
,Sum,143.1663,
,Average,2.863326,
,RMS,1.692136519,
