created_at,value,value^2,RMS
2023-12-01 12:04:43 UTC,2.27,5.1529,2.512492786
2023-12-01 12:04:52 UTC,2.24,5.0176,2.512492786
2023-12-01 12:05:10 UTC,2.27,5.1529,2.512492786
2023-12-01 12:05:11 UTC,2.07,4.2849,2.512492786
2023-12-01 12:05:20 UTC,2.17,4.7089,2.512492786
2023-12-01 12:29:27 UTC,2.13,4.5369,2.512492786
2023-12-01 12:29:39 UTC,2.03,4.1209,2.512492786
2023-12-01 12:31:56 UTC,2.27,5.1529,2.512492786
2023-12-01 12:33:24 UTC,2.27,5.1529,2.512492786
2023-12-01 12:33:57 UTC,2.17,4.7089,2.512492786
2023-12-01 12:34:13 UTC,2.27,5.1529,2.512492786
2023-12-01 12:34:57 UTC,2.26,5.1076,2.512492786
2023-12-01 12:35:03 UTC,2.1,4.41,2.512492786
2023-12-01 12:35:41 UTC,2.17,4.7089,2.512492786
2023-12-01 12:35:52 UTC,2.27,5.1529,2.512492786
2023-12-01 12:35:57 UTC,2.15,4.6225,2.512492786
2023-12-01 12:41:03 UTC,2.99,8.9401,2.512492786
2023-12-01 12:41:14 UTC,2.85,8.1225,2.512492786
2023-12-01 12:41:19 UTC,2.4,5.76,2.512492786
2023-12-01 12:41:30 UTC,2.35,5.5225,2.512492786
2023-12-01 12:41:36 UTC,2.32,5.3824,2.512492786
2023-12-01 12:41:58 UTC,2.31,5.3361,2.512492786
2023-12-01 12:42:20 UTC,2.93,8.5849,2.512492786
2023-12-01 12:42:25 UTC,2.84,8.0656,2.512492786
2023-12-01 12:44:43 UTC,2.99,8.9401,2.512492786
2023-12-01 12:45:27 UTC,2.99,8.9401,2.512492786
2023-12-01 12:45:32 UTC,2.99,8.9401,2.512492786
2023-12-01 12:51:21 UTC,2.76,7.6176,2.512492786
2023-12-01 12:52:38 UTC,2.95,8.7025,2.512492786
2023-12-01 12:53:00 UTC,2.27,5.1529,2.512492786
2023-12-01 12:53:54 UTC,2.77,7.6729,2.512492786
2023-12-01 12:54:27 UTC,2.14,4.5796,2.512492786
2023-12-01 12:54:33 UTC,2.02,4.0804,2.512492786
2023-12-01 12:54:38 UTC,2.04,4.1616,2.512492786
2023-12-01 12:55:50 UTC,2.77,7.6729,2.512492786
2023-12-01 12:56:52 UTC,2.83,8.0089,2.512492786
2023-12-01 12:57:48 UTC,2.72,7.3984,2.512492786
2023-12-01 12:58:27 UTC,2.42,5.8564,2.512492786
2023-12-01 12:58:38 UTC,2.44,5.9536,2.512492786
2023-12-01 12:58:49 UTC,2.75,7.5625,2.512492786
2023-12-01 12:59:00 UTC,2.88,8.2944,2.512492786
2023-12-01 12:59:10 UTC,2.72,7.3984,2.512492786
2023-12-01 12:59:28 UTC,2.26,5.1076,2.512492786
2023-12-01 12:59:32 UTC,2.68,7.1824,2.512492786
2023-12-01 12:59:43 UTC,2.45,6.0025,2.512492786
2023-12-01 13:00:32 UTC,2.78,7.7284,2.512492786
2023-12-01 13:00:38 UTC,2.8,7.84,2.512492786
2023-12-01 13:00:54 UTC,2.75,7.5625,2.512492786
2023-12-01 13:01:00 UTC,2.99,8.9401,2.512492786
2023-12-01 13:01:11 UTC,2.34,5.4756,2.512492786
,Sum,315.631,
,Average,6.31262,
,RMS,2.512492786,
